Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
pixel-dungeon,com.watabou.pixeldungeon,Assets,0.0,0.0,0.0,0.0,0.0,-1.0
pixel-dungeon,com.watabou.pixeldungeon,FogOfWar,3.0,0.0,2.0,2.0,0.7777777777777777,0.5
pixel-dungeon,com.watabou.pixeldungeon,FogTexture,1.0,0.0,2.0,2.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon,Dungeon,435.0,0.0,30.0,14.0,0.9338303821062441,0.0
pixel-dungeon,com.watabou.pixeldungeon,DungeonTilemap,36.0,0.0,9.0,7.0,0.75,0.4444444444444444
pixel-dungeon,com.watabou.pixeldungeon,ResultDescriptions,0.0,0.0,0.0,0.0,0.0,-1.0
pixel-dungeon,com.watabou.pixeldungeon,Challenges,0.0,0.0,0.0,0.0,0.0,-1.0
pixel-dungeon,com.watabou.pixeldungeon,Journal,40.0,25.0,6.0,6.0,0.7714285714285715,0.2727272727272727
pixel-dungeon,com.watabou.pixeldungeon,Record,4.0,0.0,2.0,2.0,0.5625,0.4
pixel-dungeon,com.watabou.pixeldungeon,Record,0.0,0.0,1.0,1.0,-0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon,PixelDungeon,435.0,0.0,30.0,21.0,0.9310344827586207,0.6666666666666666
pixel-dungeon,com.watabou.pixeldungeon,GamesInProgress,6.0,6.0,4.0,4.0,0.75,0.0
pixel-dungeon,com.watabou.pixeldungeon,Info,0.0,0.0,3.0,3.0,0.0,-1.0
pixel-dungeon,com.watabou.pixeldungeon,Chrome,0.0,0.0,1.0,1.0,0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon,Statistics,3.0,0.0,3.0,3.0,0.34090909090909083,0.0
pixel-dungeon,com.watabou.pixeldungeon,Bones,1.0,0.0,2.0,2.0,-0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon,Badges,1219.0,1213.0,47.0,8.0,0.8707482993197279,0.06
pixel-dungeon,com.watabou.pixeldungeon.sprites,SkeletonSprite,3.0,0.0,3.0,3.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,ShopkeeperSprite,1.0,1.0,2.0,2.0,1.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,ItemSpriteSheet,0.0,0.0,0.0,0.0,0.0,-1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,MirrorSprite,3.0,0.0,3.0,1.0,1.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,ScorpioSprite,9.0,8.0,4.0,4.0,0.75,0.8
pixel-dungeon,com.watabou.pixeldungeon.sprites,DM300Sprite,3.0,0.0,3.0,3.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,ImpSprite,3.0,0.0,3.0,3.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,KingSprite,0.0,0.0,1.0,1.0,0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,AcidicSprite,1.0,0.0,2.0,2.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,BurningFistSprite,5.0,4.0,3.0,3.0,0.6666666666666666,0.75
pixel-dungeon,com.watabou.pixeldungeon.sprites,ShieldedSprite,0.0,0.0,1.0,1.0,0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,RatKingSprite,0.0,0.0,1.0,1.0,0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,SuccubusSprite,1.0,0.0,2.0,2.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,FetidRatSprite,0.0,0.0,1.0,1.0,-0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,BlacksmithSprite,3.0,0.0,2.0,2.0,0.3333333333333333,0.5
pixel-dungeon,com.watabou.pixeldungeon.sprites,CursePersonificationSprite,0.0,0.0,1.0,1.0,-0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,ElementalSprite,6.0,0.0,4.0,4.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,WraithSprite,1.0,0.0,2.0,2.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,ThiefSprite,0.0,0.0,1.0,1.0,0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,EyeSprite,2.0,1.0,2.0,2.0,0.5,0.6666666666666666
pixel-dungeon,com.watabou.pixeldungeon.sprites,StatueSprite,1.0,0.0,2.0,2.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,TenguSprite,9.0,8.0,4.0,4.0,0.75,0.8
pixel-dungeon,com.watabou.pixeldungeon.sprites,RatSprite,0.0,0.0,1.0,1.0,0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,CharSprite,471.0,381.0,9.0,4.0,0.9636363636363636,0.11764705882352941
pixel-dungeon,com.watabou.pixeldungeon.sprites,JumpTweener,0.0,0.0,1.0,1.0,-0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,SwarmSprite,1.0,0.0,2.0,2.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,WandmakerSprite,17.0,13.0,4.0,4.0,0.75,0.5714285714285714
pixel-dungeon,com.watabou.pixeldungeon.sprites,Shield,3.0,0.0,2.0,2.0,0.3333333333333333,0.5
pixel-dungeon,com.watabou.pixeldungeon.sprites,GolemSprite,3.0,0.0,3.0,3.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,SpinnerSprite,1.0,0.0,2.0,2.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,BeeSprite,1.0,0.0,2.0,2.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,PlantSprite,12.0,9.0,4.0,4.0,0.6799999999999999,0.5
pixel-dungeon,com.watabou.pixeldungeon.sprites,MimicSprite,1.0,0.0,2.0,2.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,WarlockSprite,6.0,0.0,4.0,4.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,CrabSprite,1.0,0.0,2.0,2.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,GhostSprite,6.0,0.0,4.0,4.0,0.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,SeniorSprite,0.0,0.0,1.0,1.0,-0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,MobSprite,15.0,0.0,6.0,6.0,1.0,1.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,AlbinoSprite,0.0,0.0,1.0,1.0,0.0,0.0
pixel-dungeon,com.watabou.pixeldungeon.sprites,RottingFistSprite,3.0,0.0,3.0,3.0,1.0,1.0
